Restaurant Name,City,Address,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
Guevarra's,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,121.0335917,14.59345,Filipino,1000,Botswana Pula(P),Yes,No,No,3,4.2,Green,Very Good,458,Phillipines
Sodam Korean Restaurant,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,121.03811,14.59889,Korean,700,Botswana Pula(P),No,No,No,3,4.3,Green,Very Good,223,Phillipines
Cafe Arabelle,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa",121.05704,14.237082,"Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,No,3,3.6,Yellow,Good,29,Phillipines
Nonna's Pasta & Pizzeria,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa",121.0565874,14.23767897,"Italian, Pizza",850,Botswana Pula(P),No,No,No,3,4.0,Green,Very Good,72,Phillipines
Balay Dako,Tagaytay City,"Aguinaldo Highway, Tagaytay City",Tagaytay City,120.951589,14.101834,Filipino,1200,Botswana Pula(P),Yes,No,No,3,4.5,Dark Green,Excellent,211,Phillipines
Hobing Korean Dessert Cafe,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City",121.045878,14.55436,"Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,No,2,4.5,Dark Green,Excellent,118,Phillipines
Wildflour Cafe + Bakery,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,121.04622,14.549337,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,No,4,4.4,Green,Very Good,392,Phillipines
NIU by Vikings,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City",121.053725,14.545858,"Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,No,4,4.7,Dark Green,Excellent,535,Phillipines
The Food Hall by Todd English,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City",121.0534998,14.54565535,"American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,No,4,4.5,Dark Green,Excellent,618,Phillipines
Chez Michou,Brasí_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",Asa Norte,-47.88178889,-15.76414167,"Fast Food, French",55,Brazilian Real(R$),No,No,No,2,3.0,Orange,Average,6,Brazil
Cafí© Daniel Briand,Brasí_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasí_lia",Asa Norte,-47.88266667,-15.7775,Cafe,30,Brazilian Real(R$),No,No,No,1,3.8,Yellow,Good,9,Brazil
Casa do Biscoito Mineiro,Brasí_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",Asa Norte,-47.88213611,-15.75747222,Bakery,45,Brazilian Real(R$),No,No,No,2,3.7,Yellow,Good,11,Brazil
Maori,Brasí_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",Asa Norte,-47.88816667,-15.75883333,Brazilian,60,Brazilian Real(R$),No,No,No,3,3.8,Yellow,Good,11,Brazil
Pizza íæ Bessa,Brasí_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasí_lia",Asa Sul,-47.91566667,-15.83116667,Pizza,50,Brazilian Real(R$),No,No,No,2,3.2,Orange,Average,11,Brazil
Sushi Loko,Brasí_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, Brasí_lia",Asa Sul,-47.91566667,-15.831,Japanese,80,Brazilian Real(R$),No,No,No,3,3.1,Orange,Average,10,Brazil
Beirute,Brasí_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasí_lia",Asa Sul,-47.9075,-15.82,Arabian,90,Brazilian Real(R$),No,No,No,3,3.7,Yellow,Good,8,Brazil
New Koto,Brasí_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, Brasí_lia",Asa Sul,-47.91016667,-15.82733333,Japanese,200,Brazilian Real(R$),No,No,No,4,3.7,Yellow,Good,5,Brazil
Sandubas Cafí©,Brasí_lia,"Edifí_cio Josí© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Brasí_lia",Asa Sul,-47.89016667,-15.797,"Brazilian, Cafe",30,Brazilian Real(R$),No,No,No,1,0.0,White,Not rated,2,Brazil
Villa Tevere,Brasí_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, Brasí_lia",Asa Sul,-47.92366667,-15.83133333,Italian,150,Brazilian Real(R$),No,No,No,4,4.1,Green,Very Good,12,Brazil
Rovereto,Brasí_lia,"Rua 13 Norte, Lote 4, íguas Claras, Brasí_lia",íguas Claras,-48.019,-15.83716667,Pizza,100,Brazilian Real(R$),No,No,No,4,3.1,Orange,Average,9,Brazil
Buena Carne,Brasí_lia,"Avenida Araucíçrias, 1325, Loja 19, íguas Claras, Brasí_lia",íguas Claras,-48.01909167,-15.839775,"Bar Food, Brazilian",60,Brazilian Real(R$),No,No,No,3,3.6,Yellow,Good,9,Brazil
Taco Pep,Brasí_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, íguas Claras, Brasí_lia",íguas Claras,-48.01666667,-15.83483333,"Mexican, Grill",100,Brazilian Real(R$),No,No,No,4,4.3,Green,Very Good,29,Brazil
Coco Bambu,Brasí_lia,"Brasí_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Brasí_lia","Brasí_lia Shopping, Asa Norte",-47.889,-15.7865,International,230,Brazilian Real(R$),No,No,No,4,4.2,Green,Very Good,17,Brazil
Taypíç,Brasí_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasí_lia",Lago Sul,-47.872359,-15.860621,"Peruvian, Latin American",100,Brazilian Real(R$),No,No,No,4,3.6,Yellow,Good,5,Brazil
Outback Steakhouse,Brasí_lia,"ParkShopping - Piso 2, SAI/SO, írea 6580, Guaríç I, Brasí_lia","ParkShopping, Guaríç I",-47.95628333,-15.83451389,"American, Grill",150,Brazilian Real(R$),No,No,No,4,4.0,Green,Very Good,10,Brazil
Manzuíç,Brasí_lia,"Pontí£o Lago Sul, SHIS 10, Lote 9, Lago Sul, Brasí_lia","Pontí£o Lago Sul, Lago Sul",-47.87283333,-15.82566667,Seafood,240,Brazilian Real(R$),No,No,No,4,3.2,Orange,Average,6,Brazil
Coco Bambu,Brasí_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasí_lia",Setor De Clubes Esportivos Sul,-47.8685,-15.819,International,230,Brazilian Real(R$),No,No,No,4,4.9,Dark Green,Excellent,30,Brazil
Gero,Brasí_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasí_lia","Shopping Iguatemi, Lago Norte",-47.885812,-15.720118,Italian,350,Brazilian Real(R$),No,No,No,4,3.3,Orange,Average,8,Brazil
Brazilian American Burgers,Brasí_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, Brasí_lia",Sudoeste,-47.92102778,-15.79753056,"American, Burger",50,Brazilian Real(R$),No,No,No,2,3.6,Yellow,Good,9,Brazil
Pesqueiro Eco Gourmet,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida Lí_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,-43.377,-23.0115,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),No,No,No,4,4.0,Green,Very Good,7,Brazil
Confeitaria Colombo,Rio de Janeiro,"Rua Goní_alves Dias, 32, Centro, Rio de Janeiro",Centro,-43.178826,-22.905293,"Desserts, Cafe",100,Brazilian Real(R$),No,No,No,4,4.8,Dark Green,Excellent,29,Brazil
Bibi,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,-43.18669167,-22.97207222,"Juices, Healthy Food",60,Brazilian Real(R$),No,No,No,3,4.7,Dark Green,Excellent,24,Brazil
Cervantes,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,-43.17583333,-22.96216667,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,No,3,4.5,Dark Green,Excellent,29,Brazil
Amir,Rio de Janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,-43.176,-22.96516667,Lebanese,170,Brazilian Real(R$),No,No,No,4,4.2,Green,Very Good,11,Brazil
TT Burger,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana",-43.191,-22.98683333,Burger,60,Brazilian Real(R$),No,No,No,3,4.8,Dark Green,Excellent,19,Brazil
Braseiro da Gíçvea,Rio de Janeiro,"Praí_a Santos Dumont, 116, Gíçvea, Rio de Janeiro",Gíçvea,-43.227042,-22.973507,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,No,4,4.9,Dark Green,Excellent,40,Brazil
Balada Mix,Rio de Janeiro,"Rua Aní_bal de Mendoní_a, 37, Ipanema, Rio de Janeiro",Ipanema,-43.211425,-22.98520833,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),No,No,No,3,4.6,Dark Green,Excellent,21,Brazil
Garota de Ipanema,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,-43.203,-22.98533333,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,No,4,4.9,Dark Green,Excellent,49,Brazil
Zazíç BistríÇ Tropical,Rio de Janeiro,"Rua Joana Angí©lica, 40, Ipanema, Rio de Janeiro",Ipanema,-43.20520833,-22.98531944,Brazilian,170,Brazilian Real(R$),No,No,No,4,4.6,Dark Green,Excellent,21,Brazil
Filí© de Ouro,Rio de Janeiro,"Rua Jardim Botí¢nico, 731, Jardim Botí¢nico, Lagoa, Rio de Janeiro",Lagoa,-43.219563,-22.966647,Brazilian,90,Brazilian Real(R$),No,No,No,3,4.3,Green,Very Good,14,Brazil
D.O.C Ristorante,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das Amí©ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca",-43.34879167,-22.99991111,Italian,150,Brazilian Real(R$),No,No,No,4,4.0,Green,Very Good,5,Brazil
Sushi Leblon,Rio de Janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Leblon,-43.227,-22.98416667,Japanese,250,Brazilian Real(R$),No,No,No,4,4.6,Dark Green,Excellent,25,Brazil
Talho Capixaba,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,-43.22566667,-22.98516667,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),No,No,No,4,4.4,Green,Very Good,13,Brazil
Leme Light,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Leme,-43.17279167,-22.963925,Brazilian,40,Brazilian Real(R$),No,No,No,2,4.2,Green,Very Good,7,Brazil
Shirley,Rio de Janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Leme,-43.17126389,-22.96337222,"Brazilian, Seafood",250,Brazilian Real(R$),No,No,No,4,4.2,Green,Very Good,8,Brazil
Quiosque Chopp Brahma,Rio de Janeiro,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Madureira,-43.341164,-22.870413,"Bar Food, Brazilian",70,Brazilian Real(R$),No,No,No,3,0.0,White,Not rated,1,Brazil
Aprazí_vel,Rio de Janeiro,"Rua Aprazí_vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,-43.18736944,-22.92481389,Brazilian,300,Brazilian Real(R$),No,No,No,4,4.7,Dark Green,Excellent,44,Brazil
Aconchego Carioca,Rio de Janeiro,"Rua Barí£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,-43.21551111,-22.91370833,"Brazilian, Bar Food",85,Brazilian Real(R$),No,No,No,3,4.6,Dark Green,Excellent,24,Brazil
Garota de Ipanema,Rio de Janeiro,"Avenida Joí£o Alves, 56, Urca, Rio de Janeiro",Urca,-43.16266667,-22.94783333,"Brazilian, Bar Food",80,Brazilian Real(R$),No,No,No,3,4.3,Green,Very Good,10,Brazil
Cantina Famiglia Mancini,Sí£o Paulo,"Rua Avanhandava, 81, Bela Vista, Sí£o Paulo 10000","Bela Vista, Centro",-46.64516667,-23.55066667,"Italian, Pizza",250,Brazilian Real(R$),No,No,No,4,4.5,Dark Green,Excellent,49,Brazil
Templo da Carne - Marcos Bassi,Sí£o Paulo,"Rua Treze de Maio, 668, Bela Vista, Sí£o Paulo 01327000","Bela Vista, Centro",-46.64633333,-23.559,"Steak, BBQ",250,Brazilian Real(R$),No,No,No,4,4.4,Green,Very Good,17,Brazil
Gopala Hari,Sí£o Paulo,"Rua Antonio Carlos, 429, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,-46.65866667,-23.55616667,Indian,70,Brazilian Real(R$),No,No,No,3,3.1,Orange,Average,5,Brazil
Jiquitaia,Sí£o Paulo,"Rua AntíÇnio Carlos, 268, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,-46.657523,-23.55671,Brazilian,100,Brazilian Real(R$),No,No,No,4,4.1,Green,Very Good,15,Brazil
Skye - Hotel Unique,Sí£o Paulo,"Hotel Unique, Avenida Brigadeiro Luí_s AntíÇnio, 4700, Jardim Paulista, Sí£o Paulo","Hotel Unique, Jardim Paulista",-46.666851,-23.581688,"Beverages, International",300,Brazilian Real(R$),No,No,No,4,4.8,Dark Green,Excellent,59,Brazil
Les 3 Brasseurs,Sí£o Paulo,"Rua Jesuí_no Arruda, 470, Itaim Bibi, Sí£o Paulo",Itaim Bibi,-46.67511,-23.582135,"French, Brazilian, Beverages",120,Brazilian Real(R$),No,No,No,4,4.6,Dark Green,Excellent,30,Brazil
Red Steak & Burger,Sí£o Paulo,"Rua Tabapuí£, 1417, Itaim Bibi, Sí£o Paulo",Itaim Bibi,-46.683888,-23.585324,"Brazilian, Grill",75,Brazilian Real(R$),No,No,No,3,3.9,Yellow,Good,5,Brazil
Cantinho da Gula,Sí£o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, Sí£o Paulo, SP",Itaim Bibi,-46.67566667,-23.581,Brazilian,55,Brazilian Real(R$),No,No,No,2,0.0,White,Not rated,0,Brazil
Paris 6 Classique,Sí£o Paulo,"Rua Haddock Lobo, 1240, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo",Jardim Paulista,-46.666041,-23.561568,French,200,Brazilian Real(R$),No,No,No,4,3.4,Orange,Average,73,Brazil
Kawa Sushi,Sí£o Paulo,"Alameda Lorena, 300, Jardim Paulista, Sí£o Paulo",Jardim Paulista,-46.657418,-23.571638,"Sushi, Japanese",120,Brazilian Real(R$),No,No,No,4,3.5,Yellow,Good,9,Brazil
A Figueira Rubaiyat,Sí£o Paulo,"Rua Haddock Lobo, 1738, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo 10000",Jardim Paulista,-46.66983333,-23.5655,"BBQ, Grill, Brazilian",300,Brazilian Real(R$),No,No,No,4,4.3,Green,Very Good,39,Brazil
Kinoshita,Sí£o Paulo,"Rua Jacques Fí©lix, 405, Vila Nova Conceií_í£o, Moema, Sí£o Paulo",Moema,-46.67133333,-23.59233333,Sushi,230,Brazilian Real(R$),No,No,No,4,3.9,Yellow,Good,12,Brazil
Meats,Sí£o Paulo,"Rua dos Pinheiros, 320, Pinheiros, Sí£o Paulo",Pinheiros,-46.68133333,-23.56483333,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),No,No,No,4,4.3,Green,Very Good,68,Brazil
Paribar,Sí£o Paulo,"Praí_a Dom Josí© Gaspar, 42, Repí_blica, Sí£o Paulo 10000",Repí_blica,-46.64159444,-23.54664167,"Brazilian, Italian",150,Brazilian Real(R$),No,No,No,4,4.3,Green,Very Good,46,Brazil
Terraí_o Itíçlia,Sí£o Paulo,"Edifí_cio Itíçlia - 41Á Andar, Avenida Ipiranga, 344, Repí_blica, Sí£o Paulo",Repí_blica,-46.643425,-23.545163,Italian,400,Brazilian Real(R$),No,No,No,4,4.4,Green,Very Good,37,Brazil
Divino Fogí£o,Sí£o Paulo,"Shopping MetríÇ Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, Sí£o Paulo","Shopping MetríÇ Santa Cruz, Vila Mariana",-46.63716667,-23.5995,"Brazilian, Mineira",65,Brazilian Real(R$),No,No,No,3,0.0,White,Not rated,2,Brazil
Super Grill,Sí£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni Jí_nior, 1089, Santo Amaro, Sí£o Paulo","Shopping Morumbi, Santo Amaro",-46.698574,-23.622925,Brazilian,50,Brazilian Real(R$),No,No,No,2,0.0,White,Not rated,2,Brazil
Esquina Mocotí_,Sí£o Paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, Sí£o Paulo",Vila Maria,-46.581672,-23.486535,"Brazilian, North Eastern",100,Brazilian Real(R$),No,No,No,4,4.4,Green,Very Good,22,Brazil
Veloso,Sí£o Paulo,"Rua Conceií_í£o Veloso, 56, Vila Mariana, Sí£o Paulo",Vila Mariana,-46.63566667,-23.58516667,"Brazilian, Bar Food, Beverages",70,Brazilian Real(R$),No,No,No,3,4.6,Dark Green,Excellent,58,Brazil
Sainte Marie Gastronomia,Sí£o Paulo,"Rua Dom Joí£o Batista da Costa, 70, Vila SíÇnia, Sí£o Paulo",Vila SíÇnia,-46.746958,-23.609207,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,No,4,4.1,Green,Very Good,11,Brazil
Austin's BBQ and Oyster Bar,Albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,-84.221535,31.610387,"BBQ, Burger, Seafood",25,Dollar($),No,No,No,2,3.3,Orange,Average,35,United States
BJ's Country Buffet,Albany,"2401 Dawson Rd, Albany, GA 31707",Albany,-84.207095,31.608743,"American, BBQ",10,Dollar($),No,No,No,1,3.3,Orange,Average,25,United States
Cookie Shoppe,Albany,"115 N Jackson St, Albany, GA 31701",Albany,-84.154,31.5772,Others,0,Dollar($),No,No,No,1,3.4,Orange,Average,34,United States
El Vaquero Mexican Restaurant,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,-84.2194,31.6158,Mexican,0,Dollar($),No,No,No,1,3.4,Orange,Average,45,United States
Elements Coffee Co - Northwest,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,-84.206944,31.622412,"Coffee and Tea, Sandwich",10,Dollar($),No,No,No,1,3.4,Orange,Average,26,United States
Pearly's Famous Country Cookng,Albany,"814 N Slappey Blvd, Albany, GA 31701",Albany,-84.1759,31.5882,Others,0,Dollar($),No,No,No,1,3.4,Orange,Average,36,United States
Chick-fil-A,Albany,"2703 Dawson Rd, Albany, GA 31707",Albany,-84.2193,31.616,Fast Food,10,Dollar($),No,No,No,1,3.5,Yellow,Good,67,United States
Guang Zhou Chinese Restaurant,Albany,"1214 N Westover Blvd, Albany, GA 31707",Albany,-84.2091458,31.6155186,"Asian, Chinese, Vegetarian",10,Dollar($),No,No,No,1,3.9,Yellow,Good,141,United States
Harvest Moon,Albany,"2347 Dawson Road, Albany, GA 31707",Albany,-84.205718,31.604905,"Pizza, Bar Food, Sandwich",25,Dollar($),No,No,No,2,3.7,Yellow,Good,147,United States
Henry Campbell's Steakhouse,Albany,"629 N. Westover Blvd, Albany, GA 31707",Albany,-84.223278,31.612121,"Steak, Tapas, Bar Food",70,Dollar($),No,No,No,4,3.5,Yellow,Good,51,United States
Hong Kong Cafe,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,-84.2191,31.6156,"Chinese, Seafood, Vegetarian",25,Dollar($),No,No,No,2,3.6,Yellow,Good,88,United States
House of China Restaurant II,Albany,"2526 Dawson Rd Ste A, Albany, GA 31707",Albany,-84.212,31.6104,Chinese,10,Dollar($),No,No,No,1,3.8,Yellow,Good,153,United States
Jimmie's Hot Dogs,Albany,"204 S Jackson St, Albany, GA 31701",Albany,-84.1534,31.5751,Others,10,Dollar($),No,No,No,1,3.9,Yellow,Good,160,United States
Locos Grill & Pub,Albany,"547 N Westover Blvd, Albany, GA 31707",Albany,-84.2228,31.6077,"American, Burger, Sandwich",25,Dollar($),No,No,No,2,3.5,Yellow,Good,57,United States
Longhorn Steakhouse,Albany,"2733 Dawson Rd, Albany, GA 31707",Albany,-84.2229,31.6185,"American, Steak",25,Dollar($),No,No,No,2,3.5,Yellow,Good,58,United States
Mikata Japanese Steakhouse,Albany,"2610 Dawson Rd, Albany, GA 31707",Albany,-84.2164,31.6137,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,3,3.6,Yellow,Good,115,United States
Shogun Japanese Steak House,Albany,"629 N Westover Blvd, Albany, GA 31707",Albany,-84.2233,31.6118,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,3,3.5,Yellow,Good,51,United States
The Catch Seafood Room & Oyster Bar,Albany,"2332 Whispering Pines Road, Albany, GA 31707",Albany,-84.205025,31.605882,"Seafood, Tapas, Bar Food",40,Dollar($),No,No,No,3,3.8,Yellow,Good,250,United States
Villa Gargano,Albany,"1604 N Slappey Blvd, Albany, GA 31701",Albany,-84.1757,31.5985,"Italian, Pizza",10,Dollar($),No,No,No,1,3.7,Yellow,Good,117,United States
3 Squares Diner,Albany,"202 W Franklin St, Sylvester, GA 31791",Sylvester,-83.8389,31.5308,"American, Breakfast, Diner",10,Dollar($),No,No,No,1,3.4,Orange,Average,20,United States
Whitebull Hotel,Armidale,"117 Marsh St, Armidale, NSW",Armidale,151.6688792,-30.5147169,"Bar Food, Steak",20,Dollar($),No,No,No,2,3.5,Yellow,Good,25,Australia
Last Resort Grill,Athens,"184 W Clayton St, Athens, GA 30601",Athens,-83.378273,33.957999,"American, Southern, Southwestern",40,Dollar($),No,No,No,3,4.5,Dark Green,Excellent,1821,United States
Mama's Boy Restaurant,Athens,"197 Oak St, GA 30601",Athens,-83.3654,33.9535,Southern,10,Dollar($),No,No,No,1,4.5,Dark Green,Excellent,849,United States
Sr. Sol 1,Athens,"175 Tallassee Rd, Athens, GA 30606",Athens,-83.4293,33.9652,Mexican,10,Dollar($),No,No,No,1,4.6,Dark Green,Excellent,917,United States
Choo Choo Eastside,Athens,"1055 Gaines School Rd Ste 100, Athens, GA 30605",Athens,-83.3389,33.9259,"Japanese, Korean",10,Dollar($),No,No,No,1,3.9,Yellow,Good,439,United States
The Grill,Athens,"171 College Ave, Athens, GA 30601",Athens,-83.375523,33.958198,"Breakfast, Burger, Sandwich",10,Dollar($),No,No,No,1,3.7,Yellow,Good,289,United States
Big City Bread Cafe,Athens,"393 N Finley St, Athens, GA 30601",Athens,-83.384004,33.959392,"Breakfast, Sandwich",10,Dollar($),No,No,No,1,4.3,Green,Very Good,558,United States
Clocked,Athens,"259 W Washington St, Athens, GA 30601",Athens,-83.3797,33.9584,"American, Burger, Sandwich",10,Dollar($),No,No,No,1,4.2,Green,Very Good,613,United States
DePalma's Italian Cafe - Downtown,Athens,"401 E Broad St, Athens, GA 30601",Athens,-83.373596,33.958112,"American, Italian, Pizza",25,Dollar($),No,No,No,2,4.0,Green,Very Good,353,United States
DePalma's Italian Cafe - East Side,Athens,"1965 Barnett Shoals Rd, Athens, GA 30605",Athens,-83.33995,33.924275,"American, Italian, Pizza",25,Dollar($),No,No,No,2,4.1,Green,Very Good,387,United States
